12000 6 
1 9868 6
1 2557 4
2 3959 1
1 4491 3
2 271 2
2 7368 3
1 8385 2
2 8113 5
2 6207 2
2 2693 4
1 5243 4
1 5558 6
2 5464 5
2 7133 2
1 2046 2
2 1592 3
2 4463 2
1 6361 1
2 5481 6
2 4560 2
2 5108 3
1 2368 1
1 8343 2
1 7839 1
1 9049 1
1 9073 2
2 6329 1
1 5007 1
2 5067 5
1 8773 6
2 7606 1
2 9705 2
2 5115 6
1 9698 5
2 8450 1
2 9467 1
2 4305 1
1 7292 1
1 536 1
2 2302 5
2 9534 2
2 9366 3
2 6966 4
1 6859 3
1 2180 1
1 5527 4
1 613 4
1 9930 5
1 8607 1
1 8841 3
2 5682 5
2 1654 4
1 8772 4
1 1429 6
2 3567 2
2 4485 6
2 4562 5
2 9989 2
1 2441 5
2 1503 4
2 5154 3
2 2525 6
2 3148 5
1 7946 3
1 9179 3
1 411 5
1 6639 4
1 2363 3
2 5444 3
1 7865 3
1 5597 1
1 5249 6
1 6344 4
2 9778 6
1 2836 2
1 8884 5
1 5106 6
1 8195 2
2 3092 6
1 2954 2
1 8761 6
2 6931 2
2 1034 3
1 5011 1
2 4913 5
1 5233 4
2 1859 5
1 7924 4
2 7246 2
1 9354 1
1 3742 1
1 7179 4
1 4930 5
1 9750 5
2 8939 5
1 2652 3
2 4069 6
2 7010 3
1 4568 4
2 5323 2
1 2963 5
2 1606 2
1 2804 3
1 2810 4
2 7312 3
1 9925 3
1 2353 6
1 534 4
2 9000 3
1 7446 3
2 8372 1
2 1896 3
2 4455 2
1 3054 4
2 5118 3
1 1768 4
2 3526 2
1 614 5
2 1289 6
1 3384 4
1 8750 4
1 8365 3
1 9865 5
2 1231 2
2 27 4
1 8301 1
2 5397 4
1 7014 5
2 7365 5
1 5099 6
2 2079 6
2 8648 2
1 9739 4
1 6820 2
2 849 1
1 9766 2
1 8403 1
2 8337 2
2 6766 6
1 4149 6
2 4158 4
1 5034 1
1 1125 4
2 7537 1
2 5210 3
2 9527 3
2 5939 6
2 7443 4
1 8735 3
2 3385 2
2 7315 5
1 5340 5
1 8211 4
2 6630 5
1 3498 2
1 4011 2
2 919 5
2 8663 2
1 539 1
1 6625 1
2 5920 3
1 6298 4
1 2711 5
2 9056 4
2 4508 1
2 4936 1
1 8626 3
1 3373 3
2 9960 6
1 9383 6
2 9227 1
2 6554 3
1 8869 6
1 9371 3
2 5259 5
1 5605 2
1 5563 6
1 9217 6
1 7264 4
2 553 2
1 6517 3
2 7022 3
1 2360 3
2 4880 5
1 9577 5
2 2191 3
2 1508 1
2 9728 5
1 7668 5
1 2505 1
1 9928 4
1 5446 1
2 2335 1
2 9045 1
2 61 3
1 9409 4
2 8404 4
2 2195 4
1 9681 6
1 2127 2
2 6064 3
2 1839 5
2 4366 2
1 194 6
2 7263 5
2 6141 1
2 3707 6
2 5382 1
1 3643 1
2 5745 5
1 3862 1
1 1916 6
2 6406 4
1 7901 3
2 7354 2
2 3809 2
2 2848 5
2 9722 6
2 8436 1
2 4586 5
2 7033 5
2 3871 2
1 2491 4
2 4569 6
1 2218 3
2 6629 6
1 7209 1
1 9236 1
1 9888 6
1 4907 1
2 7239 6
2 8606 1
2 8701 2
1 3752 3
2 2274 4
2 1989 1
1 2185 5
1 1698 6
1 2737 6
1 3794 1
1 1984 2
2 5325 1
1 1113 5
2 363 4
2 6989 2
2 8450 4
1 7010 1
1 8887 5
2 5889 1
2 8896 1
2 1621 3
2 8775 6
2 6556 1
2 601 4
1 8809 1
2 1057 6
1 9492 1
1 2767 3
2 9323 4
1 9354 3
2 8780 3
2 519 2
1 1663 2
1 10000 1
1 7703 5
2 5834 6
2 4886 5
1 2935 3
2 3081 1
2 6563 6
1 261 5
1 290 2
1 196 6
2 8857 2
2 2770 5
1 405 3
2 3310 5
1 3411 6
2 8630 6
2 830 1
1 9367 2
2 7470 1
2 8597 2
2 7263 1
1 4507 4
1 3857 1
2 3378 5
2 1644 4
2 3966 4
2 1901 4
1 5231 3
2 7076 2
1 590 5
1 7154 2
1 4428 2
2 9224 6
2 6464 3
2 5672 6
1 4780 2
1 7420 3
2 4674 4
2 3723 3
2 7884 4
1 847 2
2 2982 5
1 7208 2
1 7318 4
2 5948 1
2 8912 3
1 5216 6
2 1566 3
2 9326 3
1 4095 6
2 7456 5
2 9948 2
2 1147 1
1 7119 2
1 8701 1
2 3754 3
2 7990 3
1 5194 6
2 9587 6
2 9038 5
2 4071 3
1 5259 5
2 1667 3
1 4184 3
1 9601 3
2 3539 6
2 4790 5
1 4441 2
1 4093 2
2 4699 1
1 5661 3
2 8987 6
2 8769 5
2 772 4
2 2383 1
2 1638 6
2 151 2
1 3023 6
2 283 1
2 3389 5
1 9873 6
2 1626 3
2 7760 3
1 5340 4
2 1172 3
1 3644 1
1 931 6
1 742 3
1 2359 5
1 2821 5
1 4102 2
2 2821 4
2 4852 2
2 4021 5
2 6620 3
2 8900 3
1 3755 6
1 3700 4
1 1154 3
1 3989 2
1 3527 6
1 7769 2
1 2635 1
2 4919 3
2 4761 1
2 5431 1
1 6485 3
1 7422 5
1 7715 2
1 8133 4
1 4388 2
2 4252 1
2 3587 5
2 5148 5
2 8240 6
1 8021 3
2 5370 1
1 9202 1
1 2639 5
2 3885 2
1 3997 3
2 109 2
2 4580 4
1 2691 5
2 5804 5
1 7603 5
2 6456 5
1 10000 5
2 7363 6
2 1004 5
2 4426 2
1 1963 4
1 208 1
1 3526 3
1 8150 5
1 7105 1
2 204 2
1 4845 4
2 242 2
2 8371 4
2 8433 1
1 9589 3
2 5136 5
1 2972 1
2 792 4
1 2193 6
2 7583 6
2 3931 3
1 8342 5
2 361 4
2 6530 5
1 6198 6
1 2991 1
2 1450 5
2 1755 5
2 8006 4
1 7256 3
2 8314 2
1 5415 6
1 9766 1
1 6078 6
2 2032 3
2 1695 5
2 3596 1
1 471 6
2 2995 3
2 3689 6
2 7434 2
1 5013 1
2 9507 2
1 2449 6
1 7849 3
1 5572 3
1 7811 5
1 7218 4
2 1822 3
2 4891 3
2 5005 5
2 7388 4
1 2384 1
2 2595 3
1 7351 2
1 2788 2
2 2518 5
1 1980 3
1 5334 5
1 3783 2
1 4469 6
2 7416 2
1 3391 4
2 4390 6
2 6576 5
1 8966 4
2 468 5
2 3037 1
1 9756 3
2 3128 2
1 9238 2
2 2136 2
2 862 1
1 2149 2
1 2680 3
2 3891 2
1 7946 3
2 7902 1
1 1683 6
1 2901 1
1 8953 3
2 4749 6
2 49 1
1 4795 3
2 2303 1
1 1885 1
2 3163 6
2 8805 3
1 8613 2
2 237 4
2 2879 3
2 4411 6
2 2480 6
2 6431 4
1 9284 4
2 9631 6
1 6884 2
1 9347 6
2 2304 1
2 6868 3
1 8961 4
2 3913 2
1 1369 3
1 4126 6
1 7329 5
1 1423 6
1 7435 3
1 1998 4
2 6624 5
2 6800 2
1 7784 3
2 6541 4
1 8557 6
2 9933 4
1 8587 5
1 96 6
1 6870 4
2 3961 6
2 1324 6
2 7877 3
2 8956 4
1 4002 1
2 8462 1
2 3072 6
2 6482 3
1 2154 5
2 9288 3
2 3275 2
2 1022 5
2 5633 3
1 5006 5
1 9891 5
1 5450 2
2 383 5
1 3317 3
1 2660 1
1 6434 1
1 5981 1
1 9962 3
2 5698 5
1 1433 4
2 779 5
1 7631 6
2 3287 1
1 8015 5
1 817 1
1 3425 6
1 1667 6
2 9575 2
2 3288 5
1 1257 1
1 2873 5
1 5553 4
2 1994 5
1 4933 6
2 2139 6
2 4922 1
1 6739 5
2 6381 4
2 4590 4
1 9906 2
2 1771 4
1 4827 4
1 6204 5
2 4775 4
2 4325 3
2 7226 4
1 224 5
1 9330 3
2 4994 2
1 3809 4
2 7993 2
2 2530 5
1 8189 4
2 3767 1
2 5020 6
2 7644 5
1 6344 3
1 4439 2
1 342 4
2 1693 5
2 699 6
2 9289 4
2 8550 1
1 9467 1
2 7190 4
1 2243 1
2 4990 5
2 9884 2
2 678 5
2 6904 2
1 7795 6
1 1928 4
1 9955 3
1 3632 3
1 743 1
2 6946 3
2 1897 5
2 4985 3
1 7818 5
2 5528 3
2 4023 6
1 5664 3
1 5215 5
2 429 6
1 9532 3
2 7194 1
2 732 1
1 1247 4
1 238 3
1 7806 1
2 7478 3
2 7436 6
1 885 6
2 8817 6
2 9448 6
1 6595 4
1 280 2
1 2250 5
1 3090 4
2 5490 2
1 9708 5
1 5411 6
2 2263 4
1 1432 2
2 7214 1
2 3838 5
1 5849 6
2 5241 4
1 8048 2
1 9807 6
1 5045 4
1 9183 2
2 8299 1
2 8182 6
2 1624 4
1 8498 3
1 6759 3
2 6322 4
1 4145 3
2 5364 5
1 7487 1
1 2642 4
1 4742 1
2 2958 1
2 7121 1
2 5680 6
2 1844 6
1 4974 5
1 7879 2
2 6882 1
2 5001 6
1 7544 1
1 3970 6
2 1160 2
2 5051 1
1 9034 6
1 8513 1
1 1169 3
2 9534 5
2 692 3
2 6017 3
2 5095 3
2 6774 6
1 5038 6
1 2868 6
2 8624 4
1 2826 2
2 3535 1
1 8397 4
1 8174 5
1 2654 1
1 7854 6
2 8865 1
2 4456 3
2 3871 6
2 4683 4
1 2913 4
2 3718 4
2 2782 2
1 8508 4
2 4468 4
1 6540 5
1 3420 5
1 2151 3
2 1209 3
1 1720 4
1 6899 6
2 1475 3
1 7773 2
1 8307 4
1 1195 4
1 1434 1
1 1650 1
2 7027 4
2 1274 2
1 9584 4
1 4068 1
1 4515 6
1 3022 5
2 3784 4
1 7390 1
1 1701 2
1 4430 2
2 9462 4
1 7388 5
1 5684 2
1 4901 1
2 991 1
2 3757 4
2 7101 3
1 9065 1
2 355 2
1 6985 6
2 6270 4
2 787 4
1 7165 2
1 2278 5
1 5195 5
1 6020 2
2 969 3
2 5157 1
1 2129 4
1 352 3
2 1163 1
2 424 4
2 6747 2
2 6093 6
1 1879 3
1 7825 6
1 5079 6
2 290 2
1 924 5
2 3502 5
1 7053 6
2 1655 1
2 9676 1
1 4426 3
2 6618 2
2 4577 3
2 9531 4
2 8114 3
1 1272 2
1 73 3
2 7122 6
1 1770 1
1 4589 2
1 6735 3
1 5062 3
1 5376 6
1 3758 6
1 9763 4
2 3650 2
1 9486 1
2 8489 1
1 5164 4
1 9309 3
2 3737 3
1 4490 3
2 5459 2
1 128 6
1 1568 6
2 5630 4
1 3923 3
2 2746 2
2 1603 1
2 9031 2
1 1312 3
2 7859 3
2 4044 4
2 1602 2
2 6732 2
2 691 2
2 15 1
1 8222 1
1 9903 3
1 4092 2
1 2251 2
2 9904 3
1 5370 6
1 4506 6
2 3228 4
1 2190 1
2 2320 5
1 8716 6
1 9004 4
2 115 6
1 5536 5
2 4105 6
1 9082 3
2 6374 2
1 6362 4
2 4641 3
2 5370 6
2 4893 2
2 391 5
1 2309 2
2 9190 2
1 7517 6
1 7352 1
1 5057 6
2 4806 5
1 1179 5
1 6826 4
2 551 5
1 2282 5
1 4527 6
1 2133 2
2 112 1
2 2599 6
1 505 3
2 9138 5
1 1761 2
2 5543 4
2 4044 6
1 9497 1
2 469 1
2 7011 1
2 1654 2
2 2736 4
1 2457 2
2 768 4
2 1483 3
2 7033 4
2 7134 3
1 2985 2
1 9018 2
2 5567 3
1 1298 2
1 2864 3
1 5359 3
2 5009 4
1 5421 6
2 7982 3
2 2559 4
1 4340 6
1 5272 4
2 3775 4
1 5660 4
2 4034 6
1 5750 3
1 7641 1
1 4308 1
1 8969 3
2 3071 4
1 5981 6
2 5015 6
2 7582 5
1 8214 6
1 2293 2
2 9317 2
2 828 3
1 8106 3
1 5803 3
2 595 1
2 5459 6
2 9425 6
2 2001 2
2 5286 2
2 8007 1
1 1876 6
2 9660 4
2 2812 6
2 8390 3
2 9795 6
2 7426 4
1 6456 2
1 8150 4
1 6793 2
1 6142 1
1 5608 5
2 7373 5
1 5473 5
2 8066 2
1 9599 6
1 2496 5
1 8684 6
1 6996 2
1 4909 1
1 9468 3
2 9031 5
1 7866 2
1 8122 4
1 1057 6
2 3817 6
1 2681 2
1 3874 6
1 2069 4
1 4411 5
2 3711 4
2 3089 6
1 395 2
1 8282 2
2 709 4
1 3467 6
1 1484 5
2 2461 4
2 5912 1
2 9151 3
2 2471 5
2 5331 6
1 1538 3
2 4734 5
1 8453 1
1 7358 3
2 4397 6
1 5547 5
1 9291 2
2 5061 1
2 5188 1
2 249 4
2 124 3
1 8515 2
1 7951 3
2 9083 4
1 4191 4
1 686 6
1 1741 6
1 6790 4
1 9815 5
2 8083 2
1 734 4
1 1464 5
2 8977 2
2 8015 1
2 4196 3
1 6473 5
1 670 2
1 7166 3
2 5111 1
2 8214 6
1 7083 5
2 6282 5
2 7254 3
2 1505 5
1 2263 3
1 9493 1
2 7086 1
2 2985 3
1 6648 3
1 5190 2
2 9104 4
2 1170 5
2 3529 2
2 8043 3
2 2814 3
1 9052 1
2 5322 3
1 8959 1
1 3966 1
2 756 2
1 7844 2
1 1914 6
1 8672 3
2 6035 3
2 139 6
2 2827 4
2 85 6
1 5880 3
2 7826 6
1 3085 4
1 1169 4
2 4969 5
1 6736 3
2 8820 2
1 5072 1
1 8348 4
2 2543 4
1 5573 4
1 687 6
2 8258 6
2 4470 5
2 2458 6
1 6606 5
2 670 6
1 187 6
2 8660 2
2 1412 2
2 7960 6
2 3008 6
1 6833 4
1 7721 5
2 8934 4
1 3720 4
1 3241 2
2 46 2
1 9349 4
1 2505 6
1 7525 5
1 8189 3
2 8470 3
1 9315 6
2 1938 2
2 9982 2
2 3750 2
2 2035 3
1 4679 3
2 1200 2
1 618 3
1 8839 2
2 1811 1
2 7193 1
2 2652 6
2 6428 5
2 4753 5
2 2474 3
1 1367 2
2 1751 1
1 4356 1
2 8870 4
2 7529 3
2 2167 2
1 7790 3
1 9144 2
2 2548 2
1 2365 4
2 1637 1
2 6219 2
1 3598 6
2 9618 1
2 6261 5
2 3467 5
1 7806 4
2 8107 4
1 5909 2
2 2972 2
2 3160 4
1 7550 2
2 5449 3
2 8764 2
2 6926 6
2 2962 6
1 1822 6
2 8121 1
1 6803 2
2 7234 5
1 1387 3
1 1777 1
2 1087 2
2 6372 2
2 1950 2
2 6709 1
1 4 1
1 5639 6
2 6395 2
1 3367 5
1 9951 2
1 8805 4
1 4294 4
2 6377 4
1 5508 4
1 1450 4
2 1287 2
1 4343 1
1 3069 3
1 6146 5
2 8767 1
1 1035 4
2 6648 5
1 664 1
1 8732 6
2 4063 5
1 2594 5
2 627 2
1 2853 1
2 8626 5
2 1967 3
2 4386 3
1 3306 5
2 8508 3
2 5542 1
1 8037 5
2 3887 4
1 2024 4
2 7280 4
2 1284 3
1 2842 1
2 8996 3
2 5080 4
1 6350 6
1 3604 4
1 8522 1
1 2075 4
2 5124 5
1 2756 1
2 6169 4
1 1868 1
1 6210 4
2 5900 4
1 938 3
1 104 1
2 1699 2
1 5764 2
1 232 1
2 5586 4
1 9632 4
1 1580 4
2 4122 6
2 8931 3
2 6531 1
2 4356 2
1 3398 4
1 4615 4
1 7204 5
1 3181 2
1 118 3
2 6527 2
2 9642 5
1 7198 6
2 5632 1
2 9380 5
2 3570 3
2 8963 1
1 4368 4
2 7774 5
2 2786 3
1 7432 1
1 9809 4
1 4382 3
2 6193 1
1 9089 1
2 2110 2
2 3401 6
1 2586 5
2 9463 6
1 5599 4
1 570 4
1 6775 5
1 2612 4
2 6314 3
1 8945 5
1 9620 4
1 71 6
2 5920 3
1 8472 3
2 1004 5
2 8890 2
1 4179 3
2 280 4
1 421 5
1 6579 1
2 6115 6
2 1324 2
1 3819 4
2 3325 5
1 8758 3
2 1326 6
2 2793 1
2 7262 4
1 742 5
2 272 3
2 1403 1
2 1139 6
2 8340 3
2 3920 3
2 2194 6
2 6741 2
1 9758 1
2 9068 1
1 1210 2
2 6780 2
2 2338 6
2 5581 6
1 7812 2
1 4105 4
2 5101 1
1 2410 5
2 4129 4
2 2282 5
2 4427 3
2 2311 6
1 9715 4
1 372 1
2 1197 2
1 7741 2
2 4419 2
2 604 1
2 4686 6
1 4839 4
2 2843 2
2 2924 2
2 6151 1
1 5223 4
2 4417 5
1 6843 2
1 5212 1
1 1589 2
1 545 3
1 6146 1
2 6436 1
2 7037 1
2 7559 6
1 7291 6
2 38 2
1 9335 5
2 8132 6
2 9435 5
1 3052 4
1 2292 1
2 9629 5
1 359 4
1 7057 1
1 1449 4
2 9079 1
1 4056 2
1 2975 3
1 3911 3
2 6313 5
2 3798 5
2 9416 5
2 2681 1
2 5760 4
2 5271 1
1 1292 2
1 3516 4
2 9231 2
2 3689 2
1 3964 3
2 8102 3
2 4523 3
2 1109 1
2 2773 2
2 1739 1
2 2966 4
1 6935 2
1 8248 4
1 3083 6
1 1852 1
2 9924 5
1 6793 3
1 9833 3
1 1062 2
2 7247 5
1 4439 6
2 6764 5
1 8691 4
2 5198 2
2 458 1
1 9738 4
2 744 1
1 7086 3
2 3539 1
1 42 4
1 5166 4
1 290 6
2 5255 4
2 401 1
1 4587 2
1 9895 2
2 9274 1
2 8810 4
1 3697 2
2 28 2
1 3149 4
1 5746 3
2 849 4
2 8749 4
1 1666 4
1 5437 4
2 488 3
1 2474 6
1 5190 5
1 7354 4
2 4237 5
2 3594 3
1 9651 4
2 4401 3
2 9840 4
1 7837 3
2 3981 6
1 8330 6
1 6768 5
1 1741 5
1 8954 2
1 8409 5
2 6270 2
2 7251 3
1 5017 5
2 243 6
2 7059 2
1 7021 5
1 6886 2
1 8564 6
1 1976 2
1 7539 3
1 5661 2
1 4791 2
2 2428 1
2 7174 2
2 7515 3
2 6069 3
1 2450 6
1 8989 2
2 7884 1
2 5929 2
1 3560 4
2 7327 3
1 4052 2
1 9058 5
2 3360 1
2 9258 4
2 8235 5
1 1786 6
1 8378 2
1 5941 1
2 2339 4
1 3544 3
1 1355 4
2 8898 1
1 1157 6
2 1371 2
1 2477 5
1 9997 3
2 4507 4
1 5290 6
2 9614 1
1 5129 4
1 7383 4
2 5991 5
1 7163 1
1 9018 1
2 8396 4
1 6295 6
1 8803 2
1 1978 5
1 3483 5
1 7048 4
1 2740 3
2 6483 5
2 3182 6
1 9087 1
1 6284 3
1 6414 6
1 4532 4
1 1990 1
1 4991 2
2 5412 2
2 1902 4
2 1772 2
2 3572 2
2 9497 6
2 489 4
2 6575 2
2 9379 4
1 7721 2
2 9742 1
2 9770 6
1 5635 6
1 7280 2
1 4867 4
2 3929 1
2 6777 2
1 3098 6
1 8061 4
2 7057 2
1 9207 4
1 2391 5
1 5873 6
2 3077 2
1 1257 4
2 8069 2
1 6676 4
2 2947 2
1 5533 1
2 2483 5
2 4314 1
2 9987 3
2 4881 6
1 4411 6
1 8941 1
1 5579 6
1 1403 4
1 2386 1
2 8807 1
2 6140 1
2 6011 5
1 1234 2
2 7912 4
1 1042 2
2 3708 6
2 2962 1
2 5669 5
1 9296 2
2 7877 4
1 7304 5
1 5565 3
1 4856 5
1 3248 3
1 1847 4
1 2306 4
1 9938 3
2 592 2
2 7001 4
1 8330 6
1 5347 6
2 6660 4
1 8762 2
1 9934 3
1 6417 6
1 9259 2
2 2162 4
2 6314 6
2 4877 6
2 8841 3
2 5557 2
2 8168 6
1 1794 3
2 4505 4
2 2187 4
2 9685 2
1 4451 1
1 8611 3
1 9498 2
2 6477 4
2 6180 4
2 5236 6
2 3769 1
1 9658 2
2 597 6
2 8442 6
