ID процесса B;Время выполнения процесса B (мс);ID процесса (ов) A
73;73;"35; 37; 10; 12; 49; 62"
74;36;"33; 26; 44; 52"
75;81;"8; 13; 15; 47; 21"
76;86;"40; 13; 53"
77;68;9
78;98;"72; 74; 15; 51; 20; 60"
79;55;"8; 41; 45; 50; 52; 20; 53; 28"
80;75;4
81;54;"41; 77; 17; 6"
82;39;"35; 66; 75; 50"
83;37;"2; 79"
84;51;"64; 34; 72; 76; 77; 52; 56; 60; 31"
85;87;"51; 47"
86;4;"64; 65; 13; 60; 47; 49; 55; 28"
87;62;"73; 18; 4"
88;23;"56; 80; 84"
89;51;"32; 42; 40; 44"
90;95;"39; 8; 80; 50; 19; 60"
91;70;"32; 66; 19"
92;61;"35; 4; 70; 79; 28"
93;90;"67; 3; 6; 11; 51; 85; 59"
94;63;"37; 63"
95;58;"82; 27"
96;67;"34; 72; 16; 55; 23; 57; 90; 31"
97;6;73
98;30;55
99;21;"67; 37; 70; 8; 85; 90; 59"
100;38;"36; 37; 5; 73; 41; 54; 89; 60; 95"
101;48;97
102;31;"33; 62"
103;15;"4; 28"
104;36;"97; 42; 75; 77; 17; 90; 30; 95"
105;26;"33; 66; 18; 54; 55; 86; 57; 28"
106;79;"96; 1; 2; 38; 7; 16; 22; 63"
107;19;"45; 17; 51; 21; 62"
108;9;"41; 107; 12; 46; 50; 19; 51; 59; 63"
109;32;"67; 36; 90; 103; 8; 58; 59"
110;63;"101; 39; 103; 105; 44; 15; 84; 26; 91"
111;70;"29; 93"
112;10;"91; 108; 68"
113;94;"35; 68"
114;80;"16; 113; 84; 60; 61"
115;88;"65; 68; 12; 14; 18"
116;25;"13; 71; 95"
117;40;1
118;44;"102; 46; 114; 117; 22; 86; 56; 90; 93"
119;39;"44; 46; 114; 85; 55"
120;36;"33; 73; 10; 75; 78; 49; 20; 116; 54"
121;4;"44; 22; 15"
122;6;"64; 92; 39"
123;16;"7; 72; 106; 44; 84; 21; 116; 61; 94; 63"
124;33;"88; 46; 30"
125;99;102
126;54;"1; 18; 113; 41"
127;22;"1; 37; 103; 104; 40; 42; 39; 54; 91; 30"
128;73;"4; 36; 8; 78; 86; 28"
129;6;"97; 5; 71; 83; 51; 20"
130;28;"96; 34; 26; 100; 40; 41; 20; 23; 122"
131;11;"57; 68; 21; 14"
132;50;"11; 68"
133;98;"9; 37"
134;83;"121; 37; 106; 79; 52; 88; 89; 91"
135;39;"1; 46; 111; 81; 61"
136;15;"5; 103; 44; 15; 17; 54; 59"
137;8;"128; 36; 100; 101; 103; 17; 113; 20; 58"
138;89;"104; 73; 10; 44; 110; 16; 82; 57; 92; 63"
139;97;"122; 180"
140;7;"129; 66; 121; 133; 40; 82; 51; 25"
141;5;"96; 5"
142;91;"51; 63"
143;97;"96; 75; 94"
144;74;"33; 2; 27; 10; 57; 91; 92; 31"
145;40;"3; 99; 72; 75; 14; 80; 81; 88; 24"
146;84;"2; 3; 36; 135; 136; 139; 14; 18; 116; 53"
147;77;"129; 39; 10; 75; 14; 127"
148;72;"130; 99; 131; 105; 11; 13; 49; 21; 22"
149;92;"139; 126; 15"
150;7;"33; 73; 106; 109; 112; 90"
151;6;0
152;69;"80; 41; 18"
153;23;"69; 102; 7; 79; 20; 117; 88; 90; 30"
154;92;137
155;76;"148; 70"
156;15;"100; 101; 68; 103; 71; 117; 125"
157;39;"69; 143; 111; 146; 153"
158;38;"123; 156; 28"
159;32;"36; 4; 14; 112; 58"
160;19;"10; 46; 81; 87; 89; 30"
161;1;"8; 145; 106; 143"
162;28;"160; 2; 103; 42; 140; 144; 21; 94"
163;63;"17; 42; 54"
164;47;"144; 40; 75; 109"
165;51;"154; 3"
166;8;0
167;1;"34; 14; 115; 147; 20; 55"
168;12;"134; 108; 50; 19; 85; 121"
169;6;"27; 123"
170;17;"66; 100; 4; 39; 106; 146; 152; 88; 124; 30"
171;85;"144; 74; 11; 86"
172;86;"102; 72; 141; 45; 21; 154; 62"
173;19;"65; 25"
174;60;"81; 154; 131; 34"
175;27;"97; 174; 47"
176;39;"67; 52; 86; 59; 158"
177;44;"64; 131; 12"
178;41;"43; 155; 94"
179;97;"6; 9; 176; 145; 22"
180;63;"64; 2; 38; 45; 78; 47; 115; 23; 26"
181;38;"65; 105; 109; 110; 147; 117; 23; 56; 89"
182;54;"57; 91; 133"
183;61;"35; 166; 40; 12; 47; 52; 157; 90; 125; 94"
184;54;"65; 35"
185;89;"35; 4; 135; 9; 144; 49; 177; 56; 91"
186;60;"32; 133; 103; 42; 87"
187;99;113
188;74;"165; 6; 170; 44; 178; 147; 59; 62"
189;33;"4; 48; 54; 89; 155"
190;16;"165; 22"
191;4;"164; 85"
192;78;"130; 36; 69; 164; 107; 108; 50; 117"
193;54;"96; 102; 174; 177; 115; 20; 151; 30"
194;39;"192; 66; 168; 142; 174; 112; 47; 158"
195;15;"17; 2; 174; 103"
196;68;"4; 135; 10; 114; 124; 126"
197;58;138
198;85;"184; 27; 23"
199;9;"138; 15"
200;89;"25; 181"
201;92;"96; 195; 143"
202;5;"45; 119"
203;52;"11; 134"
204;21;"1; 134; 39; 42; 108; 179; 151; 59"
205;3;"197; 38; 71; 25; 186; 188; 190; 63"
206;87;"68; 197; 8; 76; 90"
207;21;"71; 104; 7; 76; 146; 56; 90; 191"
208;82;"192; 74; 75; 121; 190"
209;86;"163; 133; 72; 108; 81; 146; 51; 152; 60; 30"
210;86;"197; 103; 106; 203; 178"
211;51;"162; 111; 180; 57; 158"
212;66;"34; 35; 131; 201; 51; 116; 21; 28"
213;21;"76; 109; 46"
214;14;"192; 162; 71; 202; 140; 117; 119; 122; 190"
215;21;"90; 11; 51; 186; 93"
216;48;"72; 10; 143; 144; 116"
217;79;"40; 77; 109; 173; 91"
218;3;"7; 140; 173; 112; 113; 146; 149; 152; 186; 30"
219;7;"33; 164; 105; 74; 116; 181; 121; 27"
220;97;"160; 33; 20"
221;96;"33; 69; 107; 47; 115; 23; 158"
222;20;"193; 163; 196; 202; 108; 15; 24; 122"
223;79;"163; 4; 69; 206; 80; 149"
224;91;"177; 38"
225;46;"131; 5; 203"
226;9;"137; 34; 171"
227;95;"134; 43; 174; 179; 156; 30"
228;74;"11; 80; 209; 153; 186; 156"
229;53;"112; 52; 79"
230;14;"1; 35; 4; 142; 181"
231;90;178
232;77;12
233;67;"123; 95"
234;26;125
235;53;"64; 3; 99; 61; 25; 125"
236;34;"130; 137; 138; 120; 155"
237;31;"100; 197; 228; 46; 14; 18; 52; 59; 158"
238;93;"32; 160; 136; 74; 176; 86; 151"
239;46;"34; 169; 47; 81; 115; 63; 191"
240;13;"185; 149"
241;88;0
242;71;"136; 119"
243;6;"185; 9; 157; 25; 93; 191"
244;30;"221; 175"
245;61;"35; 110"
246;33;10
247;7;"103; 174; 15; 208; 49; 178; 218; 28"
248;71;"162; 231; 92; 119"
249;88;0
250;40;65
251;7;"223; 34; 111; 178; 220; 85; 188; 95"
252;73;224
253;48;"249; 170; 101; 130"
254;32;"39; 107; 145; 177; 81; 185; 63"
255;27;"64; 130; 195; 103; 52; 117; 87"
256;12;"160; 65; 68; 8; 235; 92; 214; 151; 220; 189"
257;83;"6; 103; 137; 114; 118"
258;34;"170; 230; 138"
259;34;"256; 7; 177; 30; 61; 254"
260;3;"192; 131; 203; 46; 79; 217; 218"
261;44;"33; 5; 232; 105; 210"
262;89;"100; 147; 149; 153; 27; 190"
263;19;"107; 46; 92; 82; 250; 188"
264;89;50
265;78;"226; 99; 101; 199; 7; 74; 202; 61"
266;47;"192; 166; 38; 200; 233; 219; 191"
267;15;"193; 33; 67; 143; 152; 89; 58; 59"
268;33;"196; 47; 85; 214; 59; 253"
269;41;"96; 34; 104; 253"
270;99;"194; 101; 230; 9; 246; 29"
271;74;"32; 104; 144; 146; 24; 127"
272;38;"193; 2; 259; 228; 187"
273;83;74
274;94;"68; 201; 205; 238; 245; 149"
275;35;"192; 3; 39; 231; 204; 180; 56; 253"
276;19;"193; 2; 69; 244; 87; 251; 222"
277;80;"88; 162; 139; 98"
278;17;"94; 92; 277; 198"
279;49;"99; 267; 18; 115; 282"
280;61;155
281;48;"4; 38; 172; 45; 238; 183; 152; 25"
282;83;0
283;3;"226; 230; 154; 8; 45; 250; 28"
284;42;"67; 68; 110; 145; 249"
285;3;"1; 197; 165; 101; 230; 174; 178; 84"
286;10;0
287;69;"66; 188; 39"
288;19;"160; 198; 7; 262; 10; 204; 270; 248; 121"
289;8;"193; 284; 13"
290;62;"67; 4; 9; 42; 177; 178; 211; 95"
291;75;0
292;91;"5; 201; 148; 245; 23"
293;95;"130; 105; 108; 51; 213"
294;16;"226; 66; 13; 271; 145; 83"
295;84;"1; 98; 131; 259; 130; 11; 141; 148; 118"
296;75;"269; 213; 280; 60; 221"
297;32;"163; 231; 9; 75; 270; 209; 23; 89"
298;98;"266; 140; 175; 209; 211; 125; 159"
299;95;"67; 168; 169; 235; 19; 211"
300;25;"43; 181; 182; 184; 220; 126"
301;39;"299; 48; 18; 155; 126"
302;94;"256; 71; 45; 210; 216; 31"
303;66;"99; 69; 200; 73; 42; 143; 83; 86; 27"
304;23;"169; 281; 67; 269"
305;60;0
306;24;"26; 247; 271"
307;44;"33; 259; 233; 16; 180; 182; 217; 123"
308;33;"6; 185; 27; 92; 158"
309;61;"131; 132; 80; 179; 184; 155; 63"
310;19;"160; 34; 100; 263; 16; 86; 23; 280"
311;7;"128; 6; 300; 80; 116; 151; 186; 31"
312;63;"64; 65; 44; 237; 55; 25; 253; 183"
313;67;"312; 283"
314;78;"26; 78; 79; 54; 248; 218; 187"
315;5;303
316;29;"128; 68; 165; 232; 296; 73; 175"
317;87;"2; 230; 105; 169; 48; 19; 153; 155; 61"
318;71;"213; 41; 269; 118"
319;50;109
320;2;"209; 66; 300; 174"
321;100;275
322;35;"216; 299; 318; 63"
323;1;"320; 161; 290; 138; 145; 82; 177; 245; 124; 157"
324;73;"99; 132; 134; 301; 207; 272"
325;92;"96; 259; 260; 70; 38; 272; 19; 217; 250"
326;60;"228; 70; 233; 86; 318"
327;91;"98; 132; 304; 281; 158; 62"
328;28;"77; 148; 245; 278; 184; 56; 30"
329;9;"33; 290; 9; 301; 117; 245"
330;63;"37; 229; 106; 12; 213; 152; 59; 127; 158; 223"
331;71;"99; 8; 330; 299; 145; 310; 91"
332;86;"96; 192; 324; 132; 72; 79; 112; 57; 221"
333;42;"226; 132; 266; 171; 175; 79; 146; 316"
334;10;"193; 296; 108; 45; 15; 242; 83; 146; 93"
335;52;"128; 129; 100; 135; 10; 44; 241; 18; 276"
336;50;"325; 41; 14; 145; 124"
337;19;"288; 38; 141; 50; 242; 24; 122"
338;61;"209; 290"
339;1;"160; 237; 79; 310; 285"
340;71;124
341;95;"12; 246; 79"
342;1;"322; 310; 246"
343;79;"237; 239; 271; 273; 186; 123; 92"
344;75;101
345;93;"144; 57; 48; 267"
346;28;"3; 145; 277; 25; 250; 283; 124"
347;72;"168; 203; 174; 239; 48; 310; 345; 26; 91"
348;100;"199; 71; 263; 79; 311"
349;49;"36; 134; 207; 500; 84; 22; 26; 95"
350;44;"160; 72; 11; 237; 174; 276; 341; 26; 254"
351;56;"194; 38; 103; 113; 308; 121"
352;53;"164; 135; 75; 180; 316; 319"
353;90;"299; 271; 151"
354;46;"212; 22; 278"
355;24;"99; 267; 76; 15; 80; 249; 187; 350"
356;65;"160; 26"
357;51;0
358;7;"233; 219; 175; 91; 285; 222"
359;90;"64; 3; 164; 41; 299; 140; 173; 46; 92; 30"
360;90;"258; 23"
361;44;"274; 227"
362;66;"210; 77; 309; 358"
363;85;"160; 131; 106; 333; 150; 218"
364;55;"267; 107; 109; 271; 112"
365;20;"90; 37"
366;20;"132; 45; 278"
367;1;"160; 209; 218; 349"
368;27;"160; 292; 142; 15; 208; 17; 60"
369;37;328
370;70;"164; 269; 46; 57; 94"
371;15;"98; 222; 247"
372;17;0
373;4;"65; 166; 41; 302; 337; 340; 245; 278; 122"
374;37;"256; 107; 238; 47; 208; 81; 302; 153; 123; 349"
375;38;"70; 103; 329; 42; 12; 333; 372; 119; 251"
376;55;"96; 90; 326; 173; 211; 86; 56; 122; 318"
377;22;"144; 153; 265; 286"
378;74;"353; 166; 198; 40; 78; 273; 114; 52; 253; 63"
379;6;"288; 39; 13; 179; 340; 281; 127"
380;43;"34; 325; 262"
381;54;"2; 196; 63; 286; 159"
382;45;0
383;15;"329; 267; 105"
384;89;"184; 121; 32; 157"
385;1;"354; 322; 229; 325; 265; 42; 90; 348; 191"
386;51;"209; 339; 295"
387;37;"227; 234; 268; 175; 180; 27; 351"
388;35;"224; 196; 210; 212; 88"
389;67;"162; 267; 145; 305; 244; 20; 57; 250"
390;78;"41; 366; 110; 239; 274; 372; 311; 250; 317"
391;38;"10; 251; 324"
392;63;"73; 261; 366; 305"
393;31;"35; 36; 133; 70; 327; 108; 271; 28; 62; 319"
394;6;"65; 267; 143; 54; 183; 121; 186"
395;89;"290; 35; 203; 15; 53; 309"
396;74;"288; 161; 130; 325; 265; 330; 201; 274; 217; 383"
397;90;"121; 355; 198; 206; 371; 280; 313; 250; 63"
398;27;84
399;79;"164; 138; 141; 307; 154"
400;72;247
401;100;"7; 296; 362; 335; 308; 279"
402;72;"152; 61; 190"
403;27;0
404;57;"322; 100; 365; 341; 375; 381"
405;64;"73; 202; 332; 47; 80; 145; 339; 58; 285"
406;65;"169; 43; 76; 47; 23; 310; 214; 381; 350"
407;82;"354; 291; 156; 230"
408;98;"354; 199; 74; 149; 184; 281; 27; 158; 383"
409;92;311
410;97;"357; 390; 72; 73; 11; 341; 279; 89; 255"
411;5;"1; 297; 202; 138; 206; 399; 241; 84; 221"
412;50;"229; 262; 199; 108; 78; 207; 211; 340"
413;39;"291; 13; 238; 239; 78; 308; 249"
414;33;"298; 405"
415;11;"289; 101; 389; 15; 276; 149; 374; 30; 350"
416;67;"37; 104; 329; 107; 210; 279; 380; 63"
417;75;194
418;78;"145; 155"
419;89;"242; 157; 98"
420;80;"261; 150"
421;55;"2; 34; 7; 201; 173; 13; 308; 309; 346"
422;96;176
423;100;"201; 74; 142; 302; 49; 252; 314; 59; 156"
424;77;"296; 34; 143"
425;45;"379; 280; 203; 221"
426;27;"225; 90; 410; 368; 273; 402; 343; 250; 123"
427;6;"350; 137; 92; 83; 217; 220; 62"
428;96;"381; 141"
429;45;"418; 51; 138; 71"
430;85;"325; 390; 359; 109; 60; 252; 255"
431;54;"423; 14; 270; 117; 246"
432;50;"162; 90; 282; 204"
433;11;"414; 319; 383; 42; 43; 284; 286; 351"
434;98;"392; 238; 239; 306; 189"
435;70;"165; 358; 265; 172; 210; 114; 88"
436;55;"128; 162; 195; 103; 235; 271; 274; 408; 94"
437;5;"320; 398; 367; 53; 342; 347; 284; 189"
438;29;"344; 424; 51; 22; 216; 155"
439;75;0
440;71;"121; 66; 300; 309; 245; 345"
441;8;"427; 268; 237; 144; 25"
442;52;"128; 138; 381; 438"
443;87;"326; 278"
444;95;"224; 258; 70; 172; 366; 337; 340; 376; 152; 184"
445;93;"271; 399"
446;12;"100; 424; 16; 247; 92"
447;26;"196; 299; 235; 141; 181; 285"
448;30;"66; 292; 242; 84; 117; 54"
449;2;"448; 320; 132; 69; 166; 167; 37; 73; 56"
450;16;"409; 381; 181"
451;2;"288; 449; 230; 359; 378; 125"
452;15;"37; 168; 106; 11; 305; 147; 313; 251; 286"
453;85;"364; 362; 420; 5"
454;89;"448; 358; 329; 332; 50; 247; 222; 190"
455;41;"297; 427; 361"
456;60;"194; 368; 339; 24; 317"
457;79;"39; 391; 177; 178; 446"
458;31;"357; 222"
459;68;"425; 243; 364; 249"
460;72;"129; 135; 296; 139; 336; 310; 91"
461;25;"418; 262; 391; 106; 205; 141; 111; 143; 19"
462;98;"1; 291; 326; 10; 341; 376; 154; 31"
463;85;"66; 107; 43; 337; 126"
464;17;"299; 446"
465;54;"122; 71; 110; 57; 346; 91"
466;43;"163; 332; 50; 150; 374; 444"
467;98;"322; 136; 361; 213; 31"
468;86;"323; 366"
469;63;"185; 450; 259; 419"
470;27;"144; 158"
471;95;"256; 421; 361; 10; 251; 144; 340; 411; 284; 286"
472;39;"4; 174"
473;56;"160; 98; 68; 433; 348"
474;15;"345; 11"
475;26;33
476;35;"329; 130; 54"
477;54;"352; 65; 446; 454; 7; 52; 406; 154; 188; 382"
478;80;"161; 226; 171; 77; 429; 116; 91; 28"
479;54;0
480;42;"417; 232; 143; 367; 434; 373"
481;20;"293; 239"
482;4;"256; 291; 229; 147; 23; 94"
483;38;"36; 231; 267; 110; 433; 211; 308; 349"
484;21;"289; 300; 333; 429; 55; 60"
485;13;"414; 452; 235; 237; 283; 30; 255"
486;97;"453; 423; 40; 22; 126"
487;29;"425; 203; 303; 307; 315; 477; 351"
488;99;"130; 483; 78; 144; 468; 407; 409; 412; 158"
489;13;"34; 46; 367; 16; 315; 115; 57; 475; 414"
490;97;"256; 386; 258; 132; 42; 80; 465; 341; 309; 252"
491;8;"291; 231; 42; 109; 185; 250; 413"
492;3;0
493;82;"65; 165; 38; 425; 170; 139; 430; 407; 156"
494;81;"448; 293; 422; 42; 212; 254"
495;44;"409; 137; 349; 342"
496;60;"280; 207"
497;57;"280; 333"
498;77;"194; 482; 139; 397; 467"
499;65;"451; 324; 70; 166; 458; 331; 44; 111; 336"
500;97;"386; 326; 105; 425; 83; 471; 184"
501;100;"387; 486; 327; 168; 460; 55; 255"
502;84;"165; 392; 488; 239; 52; 278"
503;68;"416; 196; 431; 371; 244; 501; 215"
504;63;"260; 235; 373; 218; 347; 188; 447"
505;16;"225; 198; 329; 108; 474; 276; 439; 410; 412"
506;42;"192; 65; 449; 130; 388; 5; 292; 297"
507;12;"272; 167"
508;39;"42; 333; 14"
509;87;"108; 45; 399; 278; 318"
510;62;"418; 4; 423; 233; 299; 494; 17"
511;46;"96; 290; 421; 5; 19; 86; 31"
512;40;"128; 288; 195; 101; 7; 52; 244; 471; 510"
513;80;"65; 497; 321; 239"
514;73;"421; 134; 231; 489; 496; 180; 341; 500; 277"
515;27;"567; 568"
516;92;"98; 230; 135; 315; 409; 123; 220"
517;58;"177; 34; 51; 295"
518;91;"393; 2; 430"
519;6;"260; 266; 205; 119; 157"
520;38;"416; 160; 226; 134; 75; 76; 498; 18; 472; 62"
521;48;"449; 201; 394; 209; 498; 19; 502"
522;100;"2; 451; 230; 328; 58; 31"
523;35;"364; 237; 398; 147; 28"
524;68;"167; 240; 405; 346; 189"
525;79;"289; 132; 421; 268; 219; 150; 122; 475"
526;53;"323; 328; 169; 173; 16; 183; 315; 447"
527;30;349
528;88;"200; 76; 463; 241; 280"
529;60;"151; 107; 22; 87"
530;82;"2; 205; 213; 277; 349"
531;38;"225; 165; 262; 103; 10; 426; 202; 56; 345; 155"
532;19;"128; 161; 357; 327; 168; 270; 527; 467"
533;34;300
534;77;"256; 357; 264; 365; 463; 303; 209; 308; 181"
535;16;"450; 229; 297; 270; 241; 114; 501; 254"
536;66;"449; 322; 387; 103; 14; 176; 468; 287"
537;71;"4; 164; 453; 219; 445"
538;63;"328; 524; 404; 253"
539;58;"530; 51"
540;10;138
541;83;"184; 308; 407"
542;4;"260; 39; 424; 237; 528; 529; 464"
543;77;"482; 407"
544;6;"166; 77; 533; 152; 125"
545;5;"5; 165; 358; 405"
546;87;"417; 398; 52; 340; 215; 476"
547;50;"388; 518; 204; 146; 403; 84"
548;43;"271; 16; 497; 274; 21; 377; 350"
549;3;366
550;9;"457; 28; 325; 6"
551;31;"328; 403"
552;3;0
553;61;"487; 175; 436; 500; 279; 345; 91; 124; 383"
554;1;"512; 355; 357; 325; 335; 247; 287"
555;34;"254; 358; 351"
556;95;"96; 260; 529; 533; 120"
557;81;"263; 73; 399; 246; 440; 153; 314; 27; 152; 190"
558;87;"289; 161; 3; 452; 454; 554; 52; 405"
559;22;"545; 547; 104; 264; 180"
560;76;"260; 521; 331; 172; 504; 92"
561;42;"248; 137"
562;30;"452; 326; 556; 465; 499; 184; 507; 287"
563;29;"480; 515; 535; 524; 115; 85; 151; 251; 157; 159"
564;56;"546; 43; 239; 242; 470; 55; 413"
565;67;"233; 549"
566;32;"94; 103"
567;78;"488; 545; 253; 264"
568;73;"3; 261; 102; 178; 317; 318"
569;46;"228; 147; 277; 503; 216; 155; 29"
570;37;"440; 396; 16; 145; 52; 120"
571;6;"291; 486; 327; 104; 303; 435; 278"
572;19;"420; 423; 251; 144; 563; 436; 151; 121; 26; 27"
573;100;"225; 290; 482; 231; 393; 175; 185; 382"
574;3;"193; 130; 365; 51; 444"
575;32;"235; 453; 134; 503"
576;52;"160; 419"
577;45;361
578;40;"225; 417; 361; 211; 181; 215; 121"
579;69;0
580;35;"135; 521; 237; 246; 56; 282; 252"
581;31;"34; 37; 70; 21; 281; 284"
582;53;"132; 486; 204; 524; 397; 95"
583;90;"486; 431; 495; 177; 150; 59"
584;16;"512; 355; 165; 201; 429; 47; 441"
585;58;"293; 551; 205; 173; 237; 93; 159"
586;28;"131; 334; 311; 342; 55; 248; 541"
587;32;44
588;94;518
589;90;"226; 19"
590;12;"294; 488; 138; 560; 468; 412; 349"
591;61;"289; 194; 103; 377; 143; 528; 345; 58"
592;100;"204; 391"
593;87;"281; 258; 189"
594;28;"232; 516"
595;85;"390; 334; 148; 54; 503; 568; 281; 317; 126; 191"
596;77;"512; 194; 388; 201; 172; 143; 179; 438; 347; 413"
597;12;"512; 449; 556; 304; 408; 59; 479"
598;24;"274; 250; 198"
599;82;"200; 352; 181"
600;32;"291; 420; 522; 12; 526; 590; 48; 58; 444; 190"
601;97;"102; 496; 530; 372; 543"
602;52;"352; 416; 293; 294; 372"
603;71;"354; 255; 486; 519"
604;68;0
605;1;"130; 482; 388; 196; 522; 495; 179; 121"
606;58;"238; 243; 93; 51; 535; 573"
607;29;"408; 454; 583; 326; 203; 77; 376; 31"
608;33;"517; 242; 226; 213"
609;81;"576; 484; 198; 304; 17; 155; 350"
610;5;"302; 175; 179; 53; 535; 125"
611;33;"209; 139; 589; 526"
612;15;"105; 110"
613;88;"104; 482; 412"
614;2;"448; 133; 171; 239; 81; 469; 349; 413"
615;97;396
616;22;"194; 389; 201; 233; 556; 588; 473"
617;47;"160; 459; 559; 381; 445; 511"
618;100;0
619;69;"481; 97; 263; 109; 78; 433"
620;49;"549; 267; 112; 210; 499; 442; 347; 316; 574; 575"
621;95;"458; 331; 141; 336; 561; 531; 440; 571; 348; 509"
622;65;"608; 224; 390; 615; 422; 301; 84; 439; 540; 29"
623;82;"288; 197; 166; 488; 104; 459; 13; 463; 50; 29"
624;94;"609; 359; 103; 271; 528; 18; 466; 567"
625;52;217
626;25;"323; 526; 560; 594; 375; 474"
627;26;0
628;58;"560; 112"
629;7;"107; 382"
630;34;"105; 233; 558; 18; 350"
631;79;"611; 134; 520; 366; 415"
632;79;"121; 355; 164; 113; 345; 223"
633;57;"376; 557; 204; 485"
634;100;"57; 267; 132; 494"
635;51;"226; 616; 233; 363; 51; 247; 511"
636;20;"553; 21; 150"
637;80;"416; 321; 312; 265; 394; 342; 376; 156; 93"
638;23;"418; 331; 334; 403; 243; 606"
639;99;"359; 553; 107; 493; 92"
640;52;0
641;71;"352; 609; 452; 517; 583; 14; 594; 411; 532; 283"
642;9;262
643;51;"225; 323; 144; 52; 20; 568; 250"
644;9;"352; 481; 139; 47; 209; 596; 632; 57; 542"
645;59;"130; 419; 580; 390; 141; 496; 221"
646;4;"642; 259; 199"
647;98;"226; 420; 630; 572; 31"
648;51;139
649;39;"196; 297; 234; 267; 300; 19; 245; 510"
650;62;"321; 363; 429; 405"
651;91;"576; 293; 74; 299; 205; 79; 565; 347; 508; 29"
652;64;"582; 199; 40; 173; 335; 239; 339; 405"
653;18;"160; 90; 73; 10; 379; 474; 347; 508"
654;56;"295; 494; 48; 307; 115"
655;64;"41; 427; 381"
656;7;"489; 209"
657;62;"39; 40; 493; 653; 207; 403; 600; 505; 636"
658;47;"151; 244; 559; 199"
659;18;"258; 451; 357; 421; 198; 41; 304; 116; 251"
660;22;"609; 547; 431; 272; 401; 658; 248; 442; 155; 30"
661;74;282
662;23;374
663;12;"99; 100; 587; 400; 627"
664;75;"96; 486; 616; 362; 76; 661; 282"
665;43;"417; 99; 262; 76; 653; 559; 464; 400; 117; 415"
666;22;0
667;31;"228; 501; 662; 475; 414"
668;78;"161; 195; 392; 649; 459; 303; 208; 401; 50"
669;100;"321; 642; 99; 651; 268; 112; 16; 279; 56; 158"
670;67;405
671;29;"72; 463"
672;88;"582; 326; 9; 363; 557; 79; 146; 55; 573; 191"
673;31;"484; 101; 589; 318; 351"
674;32;"67; 617; 619; 662; 279; 478"
675;38;"571; 164"
676;53;"320; 641; 33; 654; 181; 539; 573; 542; 287"
677;42;"70; 201; 76; 347; 598; 602; 475; 127; 191"
678;20;"532; 45; 230"
679;62;"452; 14; 275; 567; 377; 543"
680;63;"154; 644; 71"
681;66;340
682;52;"641; 613; 485; 171; 145; 594; 381"
683;29;"206; 342; 431"
684;65;"384; 234; 6; 279"
685;12;"7; 169; 179; 88; 441; 575"
686;93;"67; 614; 391; 40; 520; 270; 367; 243; 596"
687;47;"248; 197; 458; 303; 81; 246; 88; 539; 573"
